word,cefr,part_of_speech,definition,example,phonetic,audio_url,source_url
bell,A1,noun,A bell is an object that is shaped like a cup that makes a ringing sound when hit.,The church bell is ringing.,/bɛl/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bell.ogg,https://en.wiktionary.org/wiki/bell
best,A1,adjective,The superlative form of good; most good.,"William is the best football player on our team.
Synonym: top

Antonym: worst",/bɛst/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-best.ogg,https://en.wiktionary.org/wiki/best
best,A1,adverb,The superlative form of well; most well.,"I'm feeling the best that I have in a while.
Antonym: worst",/bɛst/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-best.ogg,https://en.wiktionary.org/wiki/best
better,A1,adjective,The comparative form of good; more good.,I am a better person than you are.,/ˈbɛt.ɚ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-better.ogg,https://en.wiktionary.org/wiki/better
bicycle,A1,noun,A bicycle is a vehicle with two wheels. You use your legs to make it move.,I learned to ride a bicycle when I was six years old.,/ˈbaɪsɪkl̩/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bicycle.ogg,https://en.wiktionary.org/wiki/bicycle
big,A1,adjective,"If something is big, it is large in size; tall, wide, long, or fat.",He's bigger than me.,/bɪɡ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-big.ogg,https://en.wiktionary.org/wiki/big
bird,A1,noun,A bird is a warm-blooded animal that has feathers and wings and lays eggs. Most birds can fly.,"A sparrow is a bird and so is a penguin, even though it cannot fly.",/bɝd/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-bird.ogg,https://en.wiktionary.org/wiki/bird
birth,A1,noun,A birth is when a new baby comes out of its mother.,My mother gave birth to my brother at 12:00 on Dec. 31st.,/bɝθ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-birth.ogg,https://en.wiktionary.org/wiki/birth
birthday,A1,noun,The day you were born.,They will need your birthday on the application.,/ˈbɝːθ.deɪ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-birthday.ogg,https://en.wiktionary.org/wiki/birthday
biscuit,A1,noun,A biscuit is a cookie.,He brought along homemade biscuits for the picnic.,/ˈbɪskɪt/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-biscuit.ogg,https://en.wiktionary.org/wiki/biscuit
block,A1,noun,"A block is a hard piece of material, usually with six smooth sides.","When I was young, I liked building things with wooden blocks.",/blɒk/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-block.ogg,https://en.wiktionary.org/wiki/block
blow,A1,verb,"If wind, air, etc. blows, it moves.",The wind is blowing and the trees are moving.,/blɔʊ/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-blow.ogg,https://en.wiktionary.org/wiki/blow
blue,A1,adjective,"If you are blue, you are sad.",He was very blue that day.,/bluː/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-blue.ogg,https://en.wiktionary.org/wiki/blue
blue,A1,noun,One of the colors people can see,The sky was a deep blue above her and golden yellow beyond the village.,/bluː/,https://commons.wikimedia.org/wiki/Special:Redirect/file/en-us-blue.ogg,https://en.wiktionary.org/wiki/blue
